,best_arm,algorithm,function,euclidean_distance,true_reward_difference,cumulative_regret,timetocomple
52,[ 5.00342345 -1.45025363  1.27408605 -0.29671028],Nelder-Mead,Miele,5.726654329453383,7.113389274594e+64,5.046407360452115e+65,0.048440658021718264
53,[ 6.89449619 -6.11919506  5.84429451 -2.00968712],Nelder-Mead,Miele,11.434265258328537,1.1381422839350392e+62,6.062757398874107e+62,0.03545625600963831
54,[ 2.8768036  -1.52370651  1.57462762  0.00383129],Nelder-Mead,Miele,3.995953268203848,7.113389274594e+64,8.691940625661396e+65,0.027784280013293028
55,[ 6.89449619 -6.11919506  5.84429451 -2.00968712],Nelder-Mead,Miele,11.434265258328537,1.1381422839350392e+62,6.062757398874107e+62,0.023640983970835805
56,[ 9.18109737 -2.81889516  1.44404393 -0.12675239],Nelder-Mead,Miele,10.017148058438355,7.113389274594e+64,5.770564687634947e+65,0.032094464055262506
57,[ 6.89449619 -6.11919506  5.84429451 -2.00968712],Nelder-Mead,Miele,11.434265258328537,1.1381422839350392e+62,6.062757398874107e+62,0.03911240701563656
58,[ 6.89449619 -6.11919506  5.84429451 -2.00968712],Nelder-Mead,Miele,11.434265258328537,1.1381422839350392e+62,6.062757398874107e+62,0.03478369500953704
59,[ 2.24641018 -1.50319358  1.30565477 -0.26514156],Nelder-Mead,Miele,3.606431030650645,7.113389274594e+64,5.020901508824707e+65,0.03059947199653834
60,[ 2.24641018 -1.50319358  1.30565477 -0.26514156],Nelder-Mead,Miele,3.606431030650645,7.113389274594e+64,5.020901508824707e+65,0.03134740702807903
61,[ 6.89449619 -6.11919506  5.84429451 -2.00968712],Nelder-Mead,Miele,11.434265258328537,1.1381422839350392e+62,6.062757398874107e+62,0.03819406998809427
62,[ 2.8768036  -1.52370651  1.57462762  0.00383129],Nelder-Mead,Miele,3.995953268203848,7.113389274594e+64,8.691940625661396e+65,0.031814333982765675
63,[ 2.8768036  -1.52370651  1.57462762  0.00383129],Nelder-Mead,Miele,3.995953268203848,7.113389274594e+64,8.691940625661396e+65,0.14357151102740318
64,[ 2.8768036  -1.52370651  1.57462762  0.00383129],Nelder-Mead,Miele,3.995953268203848,7.113389274594e+64,8.691940625661396e+65,0.06797726801596582
65,[ 2.8768036  -1.52370651  1.57462762  0.00383129],Nelder-Mead,Miele,3.995953268203848,7.113389274594e+64,8.691940625661396e+65,0.06399867602158338
66,[ 6.89449619 -6.11919506  5.84429451 -2.00968712],Nelder-Mead,Miele,11.434265258328537,1.1381422839350392e+62,6.062757398874107e+62,0.03235764801502228
67,[ 6.89449619 -6.11919506  5.84429451 -2.00968712],Nelder-Mead,Miele,11.434265258328537,1.1381422839350392e+62,6.062757398874107e+62,0.021053820964880288
68,[ 6.89449619 -6.11919506  5.84429451 -2.00968712],Nelder-Mead,Miele,11.434265258328537,1.1381422839350392e+62,6.062757398874107e+62,0.02146790490951389
69,[ 2.8768036  -1.52370651  1.57462762  0.00383129],Nelder-Mead,Miele,3.995953268203848,7.113389274594e+64,8.691940625661396e+65,0.01895822794176638
70,[ 5.00342345 -1.45025363  1.27408605 -0.29671028],Nelder-Mead,Miele,5.726654329453383,7.113389274594e+64,5.046407360452115e+65,0.03439747204538435
71,[ 2.8768036  -1.52370651  1.57462762  0.00383129],Nelder-Mead,Miele,3.995953268203848,7.113389274594e+64,8.691940625661396e+65,0.025130069931037724
72,[ 6.89449619 -6.11919506  5.84429451 -2.00968712],Nelder-Mead,Miele,11.434265258328537,1.1381422839350392e+62,6.062757398874107e+62,0.01824856805615127
