,best_arm,algorithm,function,euclidean_distance,true_reward_difference,cumulative_regret,timetocomple
14,"[0.4375, -0.75]",mLGHOO,SixHumpCamelBack,0.3497056619501606,0.4145261352856955,1512.1854345883412,2.838998357008677
15,"[-0.25, 0.6875]",mLGHOO,SixHumpCamelBack,0.16215440172872275,0.10899397786458342,1541.8050918272206,2.71671123302076
16,"[0.1875, -0.625]",mLGHOO,SixHumpCamelBack,0.13122137783151036,0.10470802640914922,1517.21143208367,2.6554439869942144
17,"[0.0, -0.953125]",mLGHOO,SixHumpCamelBack,0.25674172941888507,0.7033166751861573,1337.665840770529,2.965393415011931
18,"[0.34375, -0.75]",mLGHOO,SixHumpCamelBack,0.2566892333153068,0.23769694901754468,1479.4374354637155,2.652230967010837
19,"[-0.0625, 0.75]",mLGHOO,SixHumpCamelBack,0.04630388752577908,0.020342976411183766,1290.6679560097116,2.6216191580169834
20,"[-0.1875, 0.5]",mLGHOO,SixHumpCamelBack,0.2339744644186626,0.3302939639091492,1480.6469129007182,2.961614795960486
21,"[-0.25, 0.8125]",mLGHOO,SixHumpCamelBack,0.1887963188200448,0.17735335286458342,1413.10335162099,2.5325961329508573
22,"[-0.03125, 0.5]",mLGHOO,SixHumpCamelBack,0.22051499382128192,0.2742792475943764,1573.7859736937928,2.603586606972385
23,"[0.3125, -0.5]",mLGHOO,SixHumpCamelBack,0.3078864238643854,0.500658280213674,1592.1240181642079,2.7738132320228033
24,"[0.0625, -0.875]",mLGHOO,SixHumpCamelBack,0.1646786264212815,0.27913203891118377,1486.9167442333794,2.6515233940444887
25,"[-0.25, 0.8125]",mLGHOO,SixHumpCamelBack,0.1887963188200448,0.17735335286458342,1500.374207417019,2.75446201703744
26,"[0.125, -0.59375]",mLGHOO,SixHumpCamelBack,0.1239530657144066,0.11074873860677092,1548.6694566234705,2.6702282619662583
27,"[0.75, 0.5]",mLGHOO,SixHumpCamelBack,0.8662925602820332,2.305873046875,1513.8194936341447,2.4743842059979215
28,"[-0.125, 0.5625]",mLGHOO,SixHumpCamelBack,0.15417214404684138,0.1625027364095053,1426.4080967255163,2.4727161200135015
29,"[0.875, 0.5]",mLGHOO,SixHumpCamelBack,0.9879462535988484,2.7046169942220053,1435.8815217623805,2.6590479469741695
30,"[-0.0625, -0.9375]",mLGHOO,SixHumpCamelBack,0.2716160893614367,0.6844665115674338,1568.050168503404,2.411703639954794
31,"[0.0625, -0.875]",mLGHOO,SixHumpCamelBack,0.1646786264212815,0.27913203891118377,1321.9435345615111,2.798187911976129
32,"[0.125, -0.5625]",mLGHOO,SixHumpCamelBack,0.15417214404684138,0.1625027364095053,1510.2542695675802,2.3671538420021534
33,"[-0.0625, 0.75]",mLGHOO,SixHumpCamelBack,0.04630388752577908,0.020342976411183766,1391.5391547678691,2.6816434930078685
34,"[-0.125, -0.6875]",mLGHOO,SixHumpCamelBack,0.21626153148445054,0.1869167989095053,1326.389076419911,2.5410596189904027
35,"[0.125, 0.71875]",mLGHOO,SixHumpCamelBack,0.21488802316555475,0.18893477376302092,1362.1030128640696,2.785456047975458
36,"[0.125, -0.6875]",mLGHOO,SixHumpCamelBack,0.04323251091481965,0.0150417989095053,1417.1447814812739,2.8391110050142743
37,"[0.25, -0.65625]",mLGHOO,SixHumpCamelBack,0.16982156076305507,0.13304564412434905,1329.3181357528822,2.811825277050957
38,"[0.125, -0.75]",mLGHOO,SixHumpCamelBack,0.051359517131686495,0.0198635762532553,1388.2171027031322,2.8965997540508397
39,"[0.0625, -0.625]",mLGHOO,SixHumpCamelBack,0.09175538131357748,0.060382038911183655,1321.8903226941416,2.98516781500075
40,"[0.1875, -0.75]",mLGHOO,SixHumpCamelBack,0.10461381361942598,0.049043963909149224,1517.3826622587535,2.7057615550002083
41,"[0.25, -0.6875]",mLGHOO,SixHumpCamelBack,0.16215440172872275,0.10899397786458342,1321.9298440986456,2.7239274790044874
42,"[0.1875, 0.625]",mLGHOO,SixHumpCamelBack,0.2908075824320955,0.3390830264091492,1487.3905745208494,2.4892452110070735
43,"[-0.25, 0.8125]",mLGHOO,SixHumpCamelBack,0.1887963188200448,0.17735335286458342,1361.3898840926968,2.464137965987902
44,"[0.125, -0.75]",mLGHOO,SixHumpCamelBack,0.051359517131686495,0.0198635762532553,1469.8693773181394,2.688181820034515
45,"[0.125, 0.5]",mLGHOO,SixHumpCamelBack,0.30222144199245693,0.4104885762532553,1469.2626677955095,2.5865730110090226
46,"[0.0, 0.625]",mLGHOO,SixHumpCamelBack,0.1254503886004344,0.08385156250000003,1372.9513226236854,2.590351649967488
47,"[-0.0625, -0.625]",mLGHOO,SixHumpCamelBack,0.17569590205807306,0.13850703891118377,1551.5367128469697,2.312906312989071
48,"[-0.125, 0.6875]",mLGHOO,SixHumpCamelBack,0.04323251091481965,0.0150417989095053,1525.3043781841052,2.5017198069836013
49,"[-0.125, 0.65625]",mLGHOO,SixHumpCamelBack,0.06644066902131555,0.035187215169270925,1491.551559281398,2.4167213549953885
50,"[-0.125, 0.71875]",mLGHOO,SixHumpCamelBack,0.03573321284183665,0.009247273763020925,1292.2417619563566,2.7675918230088428
