,best_arm,algorithm,function,euclidean_distance,true_reward_difference,cumulative_regret,timetocomple
48,"[0.5, -0.25, 0.5, 1.25]",mLGHOO,Miele,1.4577379737113252,19.093194208766594,243765.23215682985,7.2253595720394515
49,"[0.21875, 0.6640625, 0.5, 0.78125]",mLGHOO,Miele,0.6771684641994561,0.009300502525085439,99645.75257152568,6.501830940018408
50,"[-0.25, 0.5, 0.5, 1.390625]",mLGHOO,Miele,0.8456286954834256,2.713068487245027,3148172.808595006,8.506807444966398
51,"[-0.0625, -0.0625, -0.25, 0.3125]",mLGHOO,Miele,1.7798788582372678,1.7755089514148172,97260.70064900763,6.781052949023433
52,"[-0.203125, 0.546875, 0.5, -0.25]",mLGHOO,Miele,1.434950184239857,0.9649525189831467,58891.52824375765,7.559148378961254
53,"[-0.0625, 0.5205078125, 0.3125, -0.625]",mLGHOO,Miele,1.8295082010949104,3.5375850973756617,280238.72432334,6.31564459198853
54,"[0.67578125, 0.5, 0.5, 1.15625]",mLGHOO,Miele,0.9905020748850365,0.3952337997228993,53480.91869244193,7.111047710990533
55,"[0.3125, 0.5, 0.7578125, 1.25]",mLGHOO,Miele,0.6846977692064214,0.11499644780007007,46855.34477661901,5.975414398999419
56,"[0.7109375, -0.25, 0.21875, -0.625]",mLGHOO,Miele,2.3062759356603992,3.0244865098323044,3703304.1304790126,7.604412675020285
57,"[0.78125, 0.6875, 1.25, 0.5]",mLGHOO,Miele,1.0102018672027884,4.062397047884115,224333.8388310291,8.079453465994447
58,"[0.5, -0.0625, 0.3125, 0.40625]",mLGHOO,Miele,1.484621690027463,0.48242341229982244,89475.13511836973,5.968375645985361
59,"[0.875, 0.125, 0.125, -0.53125]",mLGHOO,Miele,2.154437644142898,0.7026029496223499,56190.270566029954,6.722900332999416
60,"[-0.25, -0.625, -0.25, 0.5]",mLGHOO,Miele,2.125,14.312799745466624,430631.0579671817,6.628371283004526
61,"[1.25, 0.59375, 0.5, 0.6875]",mLGHOO,Miele,1.4405538214520137,5.9707394383405665,57022.40499572893,7.501577910967171
62,"[-0.25, 0.875, 0.3125, 0.5]",mLGHOO,Miele,0.8948638164547721,3.1969361307363937,62966727.00823981,6.9864228969672695
63,"[1.15625, 0.5, 0.5, -0.25]",mLGHOO,Miele,1.84375,3.9489630841705705,190267.50181536496,8.63930659100879
64,"[0.59375, 0.875, 0.6875, 0.21875]",mLGHOO,Miele,1.0373870420436144,0.09640122582350326,65355.549343897015,7.375534640974365
65,"[0.5, 1.0625, 0.5, 1.25]",mLGHOO,Miele,0.7525996611745185,3.967968951416183,422168.4209680461,7.322254864033312
